SEAWIND,MARITIME,SEAWIND MARITIME
UB,SHIPPING,UB SHIPPING
MNS,SHIPYARD,MNS SHIPYARD
NEW,HORIZON,NEW HORIZON
VSPL,SHIPPING,VSPL SHIPPING
SUBNAUTIC,MARINE,SUBNAUTIC MARINE
SCAPULA,INTERNATIONAL,SCAPULA INTERNATIONAL
PLUTO,MARINE,PLUTO MARINE
GIBOR,SEAWAYS,GIBOR SEAWAYS
SHORELINE,SHIPPING,SHORELINE SHIPPING
POSEIDON,LOGISTICS,POSEIDON LOGISTICS
TIDEWATER,MARITIME,TIDEWATER MARITIME
SEACON,DRYDOCKS,SEACON DRYDOCKS
SRI,GAYATRI,SRI GAYATRI
ANJANA,OFFSHORE,ANJANA OFFSHORE
OSCAR,MARITIME,OSCAR MARITIME
FOCUS,TRANS-TECH,FOCUS TRANS-TECH
GANGAVARAM,PORT,GANGAVARAM PORT
KRISHNA,SEAWAYS,KRISHNA SEAWAYS
ESSKAY,SHIPPING,ESSKAY SHIPPING
JYOTHI,MARINE,JYOTHI MARINE
S.V.,SHIPPING,S.V. SHIPPING
J,KUMAR,J KUMAR
DATTAR,SHIPPING,DATTAR SHIPPING
PETERS,AND,PETERS AND
SHANKAR,AQUA,SHANKAR AQUA
KAANHA,SHIPPING,KAANHA SHIPPING
LVEN,NETWORK,LVEN NETWORK
PROLINE,SHIPPING,PROLINE SHIPPING
SATYA,SHIPPING,SATYA SHIPPING
KEI-RSOS,MARITIME,KEI-RSOS MARITIME
SIRI,DAYAL,SIRI DAYAL
ANAND,SHIP,ANAND SHIP
CHANDRA,MARITIME,CHANDRA MARITIME
VINDHYA,MARINE,VINDHYA MARINE
SAI,TEJA,SAI TEJA
M.,R.,M. R.
MOHSIN,AGENCIES,MOHSIN AGENCIES
S.S.SHIPPING,PRIVATE,S.S.SHIPPING PRIVATE
H,K,H K
ESSKAY,SHIPPING,ESSKAY SHIPPING
SUJTY,TANKERS,SUJTY TANKERS
VELLIIN,INDIA,VELLIIN INDIA
ROUTEMASTER,LOGISTICS,ROUTEMASTER LOGISTICS
NISHANTH,LOGISTICS,NISHANTH LOGISTICS
CITLY,TRANSPORTATION,CITLY TRANSPORTATION
LOHA,LOGISTICS,LOHA LOGISTICS
MAHENDRA,TRANSPORT,MAHENDRA TRANSPORT
FLOW,LOGISTICS,FLOW LOGISTICS
MAHAMARUTI,LOGISTICS,MAHAMARUTI LOGISTICS
SRI,SAI,SRI SAI
UTKAL,ROADWAYS,UTKAL ROADWAYS
ASSOCIATED,AUTO,ASSOCIATED AUTO
INSTACUPPA,SERVICES,INSTACUPPA SERVICES
ZENITH,CONSUMER,ZENITH CONSUMER
MANIMURTHY,MARKETING,MANIMURTHY MARKETING
W,2,W 2
SRI,VARDHINI,SRI VARDHINI
RITHVIK,EXPORTS,RITHVIK EXPORTS
VICTORY,SHOPPE,VICTORY SHOPPE
MEDHASRI,CREATIVE,MEDHASRI CREATIVE
GR8,CONSTRUCTIONS,GR8 CONSTRUCTIONS
M.C.S.,NETWORK,M.C.S. NETWORK
ABDUL,RAHMAN,ABDUL RAHMAN
NMDC,LIMITED,NMDC LIMITED
SWAMY,IMAGE,SWAMY IMAGE
REAL,WHIZ,REAL WHIZ
MINMET,REFRACTORY,MINMET REFRACTORY
SIVA,SIVANI,SIVA SIVANI
VADDE,SMILE,VADDE SMILE
SAPTAGIRI,CONSUMER,SAPTAGIRI CONSUMER
EV,QUEST,EV QUEST
PANAROMIC,BUSINESS,PANAROMIC BUSINESS
MPR,TRANSPORTS,MPR TRANSPORTS
AMARAVATHI,PACKAGING,AMARAVATHI PACKAGING
ADRUSHTA,MARKETING,ADRUSHTA MARKETING
STARFARE,NETWORKS,STARFARE NETWORKS
JAHNAVI,HEALTH,JAHNAVI HEALTH
SREE,SHAKTI,SREE SHAKTI
SRI,SIVAJYOTHI,SRI SIVAJYOTHI
WINNING,STEPS,WINNING STEPS
TGKM,MARKETING,TGKM MARKETING
SUN,SEVEN,SUN SEVEN
RAJYALAKSHMI,OVERSEAS,RAJYALAKSHMI OVERSEAS
D.K.V.,ENTERPRISES,D.K.V. ENTERPRISES
PINAKINI,CONSUMER,PINAKINI CONSUMER
VR,INNOVATIVE,VR INNOVATIVE
I.R.R.,MARKETING,I.R.R. MARKETING
VAH,MAGNA,VAH MAGNA
SREE,VIJAYA,SREE VIJAYA
VISAKHA,BALAJI,VISAKHA BALAJI
KUMUD,EXIM,KUMUD EXIM
AGATE,MARKETING,AGATE MARKETING
KONASEEMA,ENTERPRISES,KONASEEMA ENTERPRISES
JOHNMEYERS,GRANITE,JOHNMEYERS GRANITE
JAYA,GRANITES,JAYA GRANITES
EAST,INDIA,EAST INDIA
CHARMINAR,GRANITES,CHARMINAR GRANITES
RAVILEELA,GRANITES,RAVILEELA GRANITES
JANITOR,MULTI,JANITOR MULTI
SUVIDHA,CONSUMER,SUVIDHA CONSUMER
SNEHA,INNOVATIONS,SNEHA INNOVATIONS
LAKSHMI,JYOTHI,LAKSHMI JYOTHI
PRAKHYAT,MARKETING,PRAKHYAT MARKETING
BHUMITRA,MARKETING,BHUMITRA MARKETING
VSK,MARKETING,VSK MARKETING
FEDORA,NETWORK,FEDORA NETWORK
SWAYAMKRUSHI,MARKETING,SWAYAMKRUSHI MARKETING
KANAKAVARSHINI,MARKETING,KANAKAVARSHINI MARKETING
SUHINDU,MARKETING,SUHINDU MARKETING
SAARA,FAMILY,SAARA FAMILY
SATYAKRISHNA,MARKETING,SATYAKRISHNA MARKETING
YANTRA,NATURAL,YANTRA NATURAL
SUNWEB,MARKETING,SUNWEB MARKETING
WISDOM,COMMUNICATIONS,WISDOM COMMUNICATIONS
BLUE,INDIA,BLUE INDIA
QUALITYOPHIR,MARKETING,QUALITYOPHIR MARKETING
LIVYA,MARKETING,LIVYA MARKETING
R.K.,SCORPIUS,R.K. SCORPIUS
POWER,RACE,POWER RACE
SRI,VENKATA,SRI VENKATA
SHRI,KANAKAMAHALAXMI,SHRI KANAKAMAHALAXMI
CCL,PRODUCTS,CCL PRODUCTS
AMRUTHA,AROMATICS,AMRUTHA AROMATICS
SUCCESS,TIME,SUCCESS TIME
R.K.,FAMILY,R.K. FAMILY
SWAGRUHA,NETWORK,SWAGRUHA NETWORK
RANDOM,MARKETING,RANDOM MARKETING
KIRTHISUDHEERA,MARKETING,KIRTHISUDHEERA MARKETING
APEX,MULTI,APEX MULTI
WISE,NEEDS,WISE NEEDS
PRAMIDA,MARKETING,PRAMIDA MARKETING
BLOOMS,MARKETING,BLOOMS MARKETING
SURYA,BHASKARA,SURYA BHASKARA
ABHITAM,MARKETING,ABHITAM MARKETING
SRI,BRAMARAMBA,SRI BRAMARAMBA
RADIANT,DIGI,RADIANT DIGI
WEND,TRADING,WEND TRADING
SUCCESS,LIFE,SUCCESS LIFE
TKG,MARKETING,TKG MARKETING
MIGHTYSMART,MULTITRADE,MIGHTYSMART MULTITRADE
M.B.CHAYA,ONSITE,M.B.CHAYA ONSITE
RUBY,CUSTOMER,RUBY CUSTOMER
SWIN,SUPERMARKETS,SWIN SUPERMARKETS
MAHAYOGI,LAKSHMAMMA,MAHAYOGI LAKSHMAMMA
EAST,COAST,EAST COAST
G.P,INDUSTRIES,G.P INDUSTRIES
RICH,RAYS,RICH RAYS
MOREWIN,TRADE,MOREWIN TRADE
SUNKARA,MARKETING,SUNKARA MARKETING
RAINBOW,GOODS,RAINBOW GOODS
DECISIVE,MARKETING,DECISIVE MARKETING
SAMISTI,MARKETING,SAMISTI MARKETING
HAPPY,VISION,HAPPY VISION
SPARKLE,CONSUMER,SPARKLE CONSUMER
HEYDAY,MARKETING,HEYDAY MARKETING
SPANDANA,NET,SPANDANA NET
U-NEED,GOODS,U-NEED GOODS
SBRA,JEEVAN,SBRA JEEVAN
KOUTILYA,SUPER,KOUTILYA SUPER
PUSHKALA,NETMARK,PUSHKALA NETMARK
MAXWIN,MARKETING,MAXWIN MARKETING
MAGADH,NETWORK,MAGADH NETWORK
CHETAN,MARKETING,CHETAN MARKETING
WELLFARE,RESORTS,WELLFARE RESORTS
KNS,SALES,KNS SALES
EMMAREL,MARKETING,EMMAREL MARKETING
ASIA,PACIFIC,ASIA PACIFIC
KALKI,MEDICAL,KALKI MEDICAL
SUN,AND,SUN AND
